序号,测试文本,识别意图,置信度,阈值,状态,实体信息,响应时间,期望的识别结果,期望的实体
101,温度选择80,未识别,72.18%,0.85,未识别,[],13ms,set_cooking_temp,80
102,设置100度,未识别,84.58%,0.85,未识别,[],14ms,set_cooking_temp,100
103,加热到180度,未识别,44.51%,0.85,未识别,[],15ms,set_cooking_temp,180
104,设置烹饪温度,set_cooking_temp,99.98%,0.85,已识别,[],14ms,,
105,温度设置,set_cooking_temp,99.95%,0.85,已识别,[],16ms,,
106,设置高温,set_cooking_temp,99.98%,0.85,已识别,[],14ms,,
107,温度选择中温,set_cooking_temp,99.99%,0.85,已识别,[],12ms,,
108,红烧排骨加热至100度,set_food_cooking_temp,99.28%,0.85,已识别,"[{""entity"":""菜品名称"",""start"":0,""end"":4,""confidence_entity"":0.9302055835723877,""value"":""红烧排骨"",""extractor"":""DIETClassifier""}]",14ms,,
109,热一下乌鸡汤到60度,bright_value,97.60%,0.85,已识别,[],17ms,,
110,把红豆粥的温度加到70,bright_value,96.20%,0.85,已识别,"[{""entity"":""菜品名称"",""start"":1,""end"":4,""confidence_entity"":0.9236431121826172,""value"":""红豆粥"",""extractor"":""DIETClassifier""}]",14ms,,
111,65度烹饪清蒸鱼,set_cooking_time,96.73%,0.85,已识别,[],14ms,,
112,加热牛奶到180度,未识别,31.24%,0.85,未识别,[],16ms,set_cooking_temp,180
113,小火,set_firepower,99.99%,0.85,已识别,"[{""entity"":""火力"",""start"":0,""end"":2,""confidence_entity"":0.9992088675498962,""value"":""小火"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",14ms,,
114,我要低火,set_firepower,99.99%,0.85,已识别,"[{""entity"":""火力"",""start"":2,""end"":4,""confidence_entity"":0.9472684860229492,""value"":""低火"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",14ms,,
115,选择中火吧,未识别,84.32%,0.85,未识别,[],13ms,set_firepower,中火
116,设置大火,set_firepower,99.45%,0.85,已识别,"[{""entity"":""火力"",""start"":2,""end"":4,""confidence_entity"":0.7307315468788147,""value"":""大火"",""extractor"":""DIETClassifier""}]",16ms,,
117,设置高火,未识别,76.62%,0.85,未识别,[],12ms,set_firepower,高火
118,火力设置为最小,set_firepower,97.68%,0.85,已识别,[],14ms,,
119,设置火力,set_firepower,100.00%,0.85,已识别,"[{""entity"":""火力"",""start"":2,""end"":4,""confidence_entity"":0.8319824934005737,""value"":""火力"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",15ms,,
120,火力选择,set_firepower,100.00%,0.85,已识别,[],13ms,,
121,小火三分钟,set_firepower_time,100.00%,0.85,已识别,"[{""entity"":""火力"",""start"":0,""end"":2,""confidence_entity"":0.9994915723800659,""value"":""小火"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",12ms,,
122,三分钟高火,set_firepower_time,99.99%,0.85,已识别,[],12ms,,
123,设置中火一分钟吧,set_cooking_temp,95.79%,0.85,已识别,[],13ms,,
124,火力选择大火时间选择两分半,set_firepower_time,99.99%,0.85,已识别,[],13ms,,
125,选择大火三分钟,set_firepower_time,100.00%,0.85,已识别,"[{""entity"":""火力"",""start"":2,""end"":4,""confidence_entity"":0.9959660768508911,""value"":""大火"",""extractor"":""DIETClassifier""}]",15ms,,
126,设置八分钟,set_cooking_time,98.23%,0.85,已识别,[],13ms,,
127,时间选择五分钟,set_cooking_time,100.00%,0.85,已识别,[],13ms,,
128,三十分钟,set_cooking_time,99.07%,0.85,已识别,[],14ms,,
129,一小时十分钟,set_cooking_time,99.95%,0.85,已识别,[],14ms,,
130,选择六十秒吧,set_cooking_temp,99.62%,0.85,已识别,[],15ms,,
131,设置熄屏时间为30秒,screen_off_timeout,100.00%,0.85,已识别,"[{""entity"":""休眠时间"",""start"":7,""end"":10,""confidence_entity"":0.9978901743888855,""value"":""30秒"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",15ms,,
132,一分钟后熄屏,screen_off_timeout,99.17%,0.85,已识别,"[{""entity"":""休眠时间"",""start"":0,""end"":4,""confidence_entity"":0.7742553353309631,""value"":""一分钟后"",""extractor"":""DIETClassifier""}]",14ms,,
133,熄屏时间设置为一分钟,screen_off_timeout,99.90%,0.85,已识别,"[{""entity"":""休眠时间"",""start"":7,""end"":10,""confidence_entity"":0.44315004348754883,""value"":""一分钟"",""extractor"":""DIETClassifier""}]",16ms,,
134,屏幕永不休眠,未识别,81.95%,0.85,未识别,[],14ms,,
135,我要设置熄屏时间,screen_off_timeout,99.99%,0.85,已识别,[],14ms,,
136,屏幕休眠时间设为3分钟,未识别,52.02%,0.85,未识别,[],13ms,screen_off_timeout,3分钟
137,熄屏,screen_off,99.97%,0.85,已识别,[],12ms,,
138,关闭屏幕,screen_off,99.98%,0.85,已识别,[],14ms,,
139,熄灭屏幕,screen_off,99.99%,0.85,已识别,[],13ms,,
140,关闭屏幕显示,screen_off,99.99%,0.85,已识别,[],14ms,,
141,黑屏,screen_off,99.99%,0.85,已识别,[],15ms,,
142,打开童锁,child_lock_on,99.92%,0.85,已识别,[],14ms,,
143,帮我打开童锁,child_lock_on,99.74%,0.85,已识别,[],14ms,,
144,使用童锁功能,child_lock_on,99.97%,0.85,已识别,[],16ms,,
145,启动童锁,child_lock_on,99.29%,0.85,已识别,[],17ms,,
146,关闭童锁,child_lock_off,99.95%,0.85,已识别,[],16ms,,
147,帮我关了童锁,未识别,42.92%,0.85,未识别,[],16ms,child_lock_off,
148,解除锁定,child_lock_off,99.77%,0.85,已识别,[],14ms,,
149,解除童锁,child_lock_off,99.98%,0.85,已识别,[],14ms,,
150,童锁控制,child_lock_on,96.36%,0.85,已识别,[],14ms,,
151,我想换个角色,role_switch,99.99%,0.85,已识别,[],17ms,,
152,切换角色,role_switch,99.99%,0.85,已识别,[],15ms,,
153,切换第二个角色,role_switch,99.97%,0.85,已识别,[],15ms,,
154,帮我换回第一个角色,role_switch,99.93%,0.85,已识别,[],17ms,,
155,使用倒数第一个虚拟人,role_switch,99.80%,0.85,已识别,[],15ms,,
156,我想换个主题,未识别,52.36%,0.85,未识别,[],15ms,set_theme_next,
157,换个主题,set_theme_next,98.78%,0.85,已识别,[],13ms,,
158,切换第二个主题,set_theme_next,99.99%,0.85,已识别,[],15ms,,
159,我要用第一个主题,未识别,75.94%,0.85,未识别,[],15ms,set_theme_next,1
160,主题换成最后一个,set_theme_next,93.92%,0.85,已识别,[],16ms,,
161,切换上一个主题,set_theme_previous,94.55%,0.85,已识别,[],14ms,,
162,我想用回上一个主题,set_theme_previous,99.98%,0.85,已识别,[],14ms,,
163,主题换回上一个,set_theme_previous,99.99%,0.85,已识别,[],14ms,,
164,选择上一个主题,set_theme_previous,99.77%,0.85,已识别,[],13ms,,
165,返回首页,back_home_page,99.96%,0.85,已识别,[],14ms,,
166,返回桌面,back_home_page,99.88%,0.85,已识别,[],15ms,,
167,返回主页,back_home_page,99.98%,0.85,已识别,[],17ms,,
168,回到首页,back_home_page,99.99%,0.85,已识别,[],16ms,,
169,打开设置,未识别,49.55%,0.85,未识别,[],16ms,jump_to_page,设置页面
170,进入设置,未识别,59.27%,0.85,未识别,[],13ms,jump_to_page,设置页面
171,打开设置页,未识别,56.09%,0.85,未识别,[],16ms,jump_to_page,设置页面
172,查看网络,page_previous,91.92%,0.85,已识别,[],19ms,,
173,打开网络设置,未识别,61.34%,0.85,未识别,[],18ms,jump_to_page,网络设置页面
174,看一下网络设置,set_category_size,97.98%,0.85,已识别,"[{""entity"":""份量"",""start"":3,""end"":5,""confidence_entity"":0.8299289345741272,""value"":""网络"",""extractor"":""DIETClassifier""}]",19ms,,
175,查看WiFi,未识别,54.93%,0.85,未识别,[],15ms,jump_to_page,WiFi页面
176,打开WiFi设置,未识别,58.09%,0.85,未识别,[],16ms,jump_to_page,WiFi设置页面
177,我想联网,未识别,51.20%,0.85,未识别,[],14ms,jump_to_page,联网页面
178,我想连接网络,未识别,24.84%,0.85,未识别,[],17ms,jump_to_page,连接网络页面
179,帮我联网,未识别,72.10%,0.85,未识别,[],16ms,jump_to_page,联网页面
180,进入联网页,未识别,41.30%,0.85,未识别,[],16ms,jump_to_page,联网页面
181,切换到联网页,jump_to_page,90.09%,0.85,已识别,[],15ms,jump_to_page,联网页面
182,进入联网页面,未识别,45.01%,0.85,未识别,[],15ms,jump_to_page,联网页面
183,跳到联网页面,未识别,45.45%,0.85,未识别,[],14ms,jump_to_page,联网页面
184,跳转到设备联网页,back_home_page,88.93%,0.85,已识别,[],18ms,,
185,查看网络信息,page_previous,98.53%,0.85,已识别,[],14ms,,
186,打开设备信息,未识别,42.73%,0.85,未识别,[],15ms,jump_to_page,设备信息页面
187,查看设备信息,page_previous,98.97%,0.85,已识别,[],13ms,jump_to_page,设备详情页面
188,打开设备详情页,未识别,46.73%,0.85,未识别,[],13ms,jump_to_page,设备详情页面
189,看一下设备信息,set_category_size,98.48%,0.85,已识别,"[{""entity"":""份量"",""start"":3,""end"":5,""confidence_entity"":0.5699471235275269,""value"":""设备"",""extractor"":""DIETClassifier""},{""entity"":""品类"",""start"":5,""end"":7,""confidence_entity"":0.44944095611572266,""value"":""信息"",""extractor"":""DIETClassifier""}]",13ms,jump_to_page,设备详情页面
190,查看设备信息详情,page_previous,95.05%,0.85,已识别,[],13ms,,
191,打开设备详情,未识别,40.07%,0.85,未识别,[],14ms,jump_to_page,设备详情页面
192,看一下设备详情,set_category_size,98.70%,0.85,已识别,"[{""entity"":""份量"",""start"":3,""end"":5,""confidence_entity"":0.4889332950115204,""value"":""设备"",""extractor"":""DIETClassifier""},{""entity"":""品类"",""start"":5,""end"":7,""confidence_entity"":0.3585643172264099,""value"":""详情"",""extractor"":""DIETClassifier""}]",15ms,,
193,我想看设备信息,未识别,49.15%,0.85,未识别,"[{""entity"":""品类"",""start"":5,""end"":7,""confidence_entity"":0.32756680250167847,""value"":""信息"",""extractor"":""DIETClassifier""}]",17ms,jump_to_page,设备信息页面
194,查看设备详细信息,page_previous,98.97%,0.85,已识别,[],15ms,,
195,进入设备信息页,未识别,51.48%,0.85,未识别,[],14ms,jump_to_page,设备信息页面
196,切换到设备信息页,未识别,83.74%,0.85,未识别,[],14ms,jump_to_page,设备信息页面
197,进入设备信息页面,未识别,73.65%,0.85,未识别,[],13ms,jump_to_page,设备信息页面
198,查看设备详情,page_previous,97.23%,0.85,已识别,[],12ms,,
199,跳到设备信息页,未识别,56.74%,0.85,未识别,[],17ms,jump_to_page,设备信息页面
200,跳转到设备详情页,未识别,74.90%,0.85,未识别,[],14ms,jump_to_page,设备详情页面
201,打开语言切换,未识别,79.04%,0.85,未识别,[],15ms,jump_to_page,语言切换页面
202,我想切换语言,未识别,43.86%,0.85,未识别,[],14ms,jump_to_page,语言切换页面
203,帮我切换语言,未识别,53.95%,0.85,未识别,[],16ms,jump_to_page,语言切换页面
204,进入语音切换页面,jump_to_page,92.56%,0.85,已识别,[],15ms,jump_to_page,语言切换页面
205,我要换语言,未识别,67.75%,0.85,未识别,[],14ms,jump_to_page,语言切换页面
206,进入切换语言页面,jump_to_page,91.33%,0.85,已识别,"[{""entity"":""页面名称"",""start"":4,""end"":6,""confidence_entity"":0.7204983830451965,""value"":""语言"",""extractor"":""DIETClassifier""}]",15ms,,
207,打开语言切换页,jump_to_page,97.19%,0.85,已识别,[],16ms,,
208,帮我打开语言切换页面,jump_to_page,99.19%,0.85,已识别,[],15ms,,
209,跳到语言切换页,未识别,82.29%,0.85,未识别,[],14ms,jump_to_page,语言切换页面
210,跳转到语言切换页面,jump_to_page,97.53%,0.85,已识别,[],16ms,,
211,启动使用帮助页面,jump_to_page,100.00%,0.85,已识别,"[{""entity"":""页面名称"",""start"":2,""end"":6,""confidence_entity"":0.9814081788063049,""value"":""使用帮助"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",15ms,,
212,跳到使用帮助页,jump_to_page,100.00%,0.85,已识别,"[{""entity"":""页面名称"",""start"":2,""end"":6,""confidence_entity"":0.912667989730835,""value"":""使用帮助"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",17ms,,
213,跳转到使用帮助页,jump_to_page,100.00%,0.85,已识别,"[{""entity"":""页面名称"",""start"":3,""end"":8,""confidence_entity"":0.9936955571174622,""value"":""使用帮助页"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",17ms,,
214,打开使用帮助,jump_to_page,100.00%,0.85,已识别,"[{""entity"":""页面名称"",""start"":2,""end"":6,""confidence_entity"":0.9977333545684814,""value"":""使用帮助"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",17ms,,
215,打开使用说明,jump_to_page,99.96%,0.85,已识别,"[{""entity"":""页面名称"",""start"":2,""end"":6,""confidence_entity"":0.7310346364974976,""value"":""使用说明"",""extractor"":""DIETClassifier""}]",15ms,,
216,查看使用说明,jump_to_page,99.80%,0.85,已识别,"[{""entity"":""页面名称"",""start"":2,""end"":6,""confidence_entity"":0.9537092447280884,""value"":""使用说明"",""extractor"":""DIETClassifier""}]",17ms,,
217,我想查看使用说明,jump_to_page,96.77%,0.85,已识别,"[{""entity"":""页面名称"",""start"":4,""end"":8,""confidence_entity"":0.9538781046867371,""value"":""使用说明"",""extractor"":""DIETClassifier""}]",16ms,,
218,看一下使用说明,jump_to_page,99.71%,0.85,已识别,"[{""entity"":""页面名称"",""start"":3,""end"":7,""confidence_entity"":0.9251490831375122,""value"":""使用说明"",""extractor"":""DIETClassifier""}]",16ms,,
219,看看使用说明,jump_to_page,99.95%,0.85,已识别,"[{""entity"":""页面名称"",""start"":2,""end"":6,""confidence_entity"":0.9772725105285645,""value"":""使用说明"",""extractor"":""DIETClassifier""}]",12ms,,
220,查看使用帮助,jump_to_page,100.00%,0.85,已识别,"[{""entity"":""页面名称"",""start"":2,""end"":6,""confidence_entity"":0.9983152151107788,""value"":""使用帮助"",""extractor"":""DIETClassifier"",""processors"":[""EntitySynonymMapper""]}]",13ms,,
221,帮我打开帮助页面,jump_to_page,99.96%,0.85,已识别,"[{""entity"":""页面名称"",""start"":4,""end"":6,""confidence_entity"":0.9781166315078735,""value"":""帮助"",""extractor"":""DIETClassifier""}]",14ms,,
222,查看一下使用说明,jump_to_page,99.98%,0.85,已识别,"[{""entity"":""页面名称"",""start"":4,""end"":8,""confidence_entity"":0.9794437885284424,""value"":""使用说明"",""extractor"":""DIETClassifier""}]",13ms,,
223,上一页,page_previous,100.00%,0.85,已识别,[],12ms,,
224,返回上一页,page_previous,100.00%,0.85,已识别,[],11ms,,
225,退出,page_previous,99.99%,0.85,已识别,[],13ms,,
226,退出页面,page_previous,100.00%,0.85,已识别,[],13ms,,
227,返回,page_previous,99.99%,0.85,已识别,[],12ms,,
228,页面切换,jump_to_page,99.11%,0.85,已识别,[],14ms,,
229,页面打开,未识别,80.90%,0.85,未识别,[],15ms,jump_to_page,
230,跳转到页面,jump_to_page,95.42%,0.85,已识别,[],13ms,,
231,帮我解冻鸡肉,cooking_unfreeze,99.99%,0.85,已识别,[],16ms,,
232,解冻一下大虾,cooking_unfreeze,99.94%,0.85,已识别,"[{""entity"":""份量"",""start"":4,""end"":6,""confidence_entity"":0.7789418697357178,""value"":""大虾"",""extractor"":""DIETClassifier""}]",14ms,,
233,把牛肉解冻一下,cooking_unfreeze,99.98%,0.85,已识别,[],16ms,,
234,羊肉帮我解冻一下,cooking_unfreeze,99.98%,0.85,已识别,[],17ms,,
235,快帮我解冻,cooking_unfreeze,99.98%,0.85,已识别,[],16ms,,
236,快速解冻,cooking_unfreeze,99.99%,0.85,已识别,[],14ms,,
237,快速解冻牛排,cooking_unfreeze,99.95%,0.85,已识别,"[{""entity"":""品类"",""start"":4,""end"":6,""confidence_entity"":0.8684301376342773,""value"":""牛排"",""extractor"":""DIETClassifier""}]",16ms,,
238,快速解冻排骨,cooking_unfreeze,98.86%,0.85,已识别,[],15ms,,
239,解冻猪肉,cooking_unfreeze,99.99%,0.85,已识别,"[{""entity"":""份量"",""start"":2,""end"":4,""confidence_entity"":0.7933322787284851,""value"":""猪肉"",""extractor"":""DIETClassifier""}]",14ms,,
240,解冻冻肉,cooking_unfreeze,99.99%,0.85,已识别,"[{""entity"":""份量"",""start"":2,""end"":4,""confidence_entity"":0.7882025241851807,""value"":""冻肉"",""extractor"":""DIETClassifier""}]",13ms,,
241,开始智能烹饪,voice_cmd_start_cooking,99.77%,0.85,已识别,[],14ms,,
242,我要进行智能烹饪,AI_cooking_page_open,99.76%,0.85,已识别,[],14ms,,
243,帮我打开智能烹饪页面,AI_cooking_page_open,99.89%,0.85,已识别,[],16ms,,
244,帮我智能烹饪,AI_cooking_page_open,99.97%,0.85,已识别,[],16ms,,
245,启动智能烹饪,voice_cmd_start_cooking,98.63%,0.85,已识别,[],16ms,,
246,微热一下剩饭,heat_cooking_page_open,100.00%,0.85,已识别,"[{""entity"":""品类"",""start"":4,""end"":6,""confidence_entity"":0.5253973603248596,""value"":""剩饭"",""extractor"":""DIETClassifier""}]",16ms,,
247,剩饭加热,heat_cooking_page_open,100.00%,0.85,已识别,[],14ms,,
248,剩菜微热一下,heat_cooking_page_open,99.85%,0.85,已识别,[],14ms,,
249,把三明治稍微热一下,heat_cooking_page_open,100.00%,0.85,已识别,"[{""entity"":""品类"",""start"":1,""end"":4,""confidence_entity"":0.9842783808708191,""value"":""三明治"",""extractor"":""DIETClassifier""}]",15ms,,
250,帮我热一下牛奶,set_foodtype,99.42%,0.85,已识别,[],15ms,,
251,加热一下牛奶,set_foodtype,99.04%,0.85,已识别,[],14ms,,
252,帮我把牛奶热一下,未识别,82.55%,0.85,未识别,[],15ms,heat_cooking_page_open,
253,热一下牛奶,set_foodtype,99.93%,0.85,已识别,[],14ms,,
254,再热一下牛奶,未识别,82.94%,0.85,未识别,[],16ms,heat_cooking_page_open,
255,帮我再加热一下牛奶,heat_cooking_page_open,88.60%,0.85,已识别,[],17ms,,
256,复热牛奶,set_foodtype,99.50%,0.85,已识别,[],12ms,,
257,帮我热盒饭,heat_cooking_page_open,100.00%,0.85,已识别,[],13ms,,
258,我要加热鸡排,heat_cooking_page_open,99.99%,0.85,已识别,"[{""entity"":""品类"",""start"":4,""end"":6,""confidence_entity"":0.7671876549720764,""value"":""鸡排"",""extractor"":""DIETClassifier""}]",11ms,,
259,帮我把鸡排再加热一下,heat_cooking_page_open,100.00%,0.85,已识别,"[{""entity"":""品类"",""start"":3,""end"":5,""confidence_entity"":0.5578987002372742,""value"":""鸡排"",""extractor"":""DIETClassifier""}]",13ms,,
260,帮我加热蛋挞,heat_cooking_page_open,99.99%,0.85,已识别,[],11ms,,
261,加热牛排,heat_cooking_page_open,99.89%,0.85,已识别,[],12ms,,
262,把牛排再热一下,heat_cooking_page_open,100.00%,0.85,已识别,"[{""entity"":""品类"",""start"":1,""end"":3,""confidence_entity"":0.8476921319961548,""value"":""牛排"",""extractor"":""DIETClassifier""}]",17ms,,
263,帮我复热牛排,heat_cooking_page_open,99.07%,0.85,已识别,[],15ms,,
264,牛排再热一下,heat_cooking_page_open,100.00%,0.85,已识别,"[{""entity"":""品类"",""start"":0,""end"":2,""confidence_entity"":0.5217034816741943,""value"":""牛排"",""extractor"":""DIETClassifier""}]",14ms,,
265,再热一下炒饭,heat_cooking_page_open,100.00%,0.85,已识别,"[{""entity"":""品类"",""start"":4,""end"":6,""confidence_entity"":0.9355314373970032,""value"":""炒饭"",""extractor"":""DIETClassifier""}]",14ms,,
266,番茄炒蛋复热,heat_cooking_page_open,99.85%,0.85,已识别,[],13ms,,
267,帮我加热,heat_cooking_page_open,99.99%,0.85,已识别,[],13ms,,
268,加热,heat_cooking_page_open,99.89%,0.85,已识别,[],13ms,,
269,开启DIY烹饪页面,DIY_cooking_chef_mode,99.68%,0.85,已识别,[],14ms,,
270,我想进入DIY烹饪页,DIY_cooking_chef_mode,99.94%,0.85,已识别,[],14ms,,
271,进入DIY烹饪页面,DIY_cooking_chef_mode,99.97%,0.85,已识别,[],17ms,,
272,进行自助烹饪,DIY_cooking_chef_mode,99.94%,0.85,已识别,[],13ms,,
273,开启手动烹饪,DIY_cooking_chef_mode,97.79%,0.85,已识别,[],20ms,,
